,2024,2024,2024-01,2024-01,2024-02,2024-02,2024-03,2024-03,2024-04,2024-04,2024-05,2024-05,2024-06,2024-06,2024-07,2024-07,2024-08,2024-08,2024-09,2024-09,2024-10,2024-10,2024-11,2024-11,2024-12,2024-12,2025,2025,2025-01,2025-01,2025-02,2025-02,2025-03,2025-03,2025-04,2025-04,2025-05,2025-05,2025-06,2025-06,2025-07,2025-07,2025-08,2025-08,2025-09,2025-09,2025-10,2025-10,2025-11,2025-11,2025-12,2025-12,2026,2026,2026-01,2026-01,2026-02,2026-02,2026-03,2026-03
,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity
105907 - BETADINE ANTISEP FIRST AID CREAM 45G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"185,163","15,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126,477","10,408","29,899","2,312","18,053","1,548","5,536",600,"5,198",492,"9,467",876,"2,663",248,"6,699",616,105,12
105905 - BETADINE RTU THROAT GARGLE 200ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"371,014","30,552",0,0,0,0,0,0,0,0,0,0,0,0,"180,690","13,848","3,371",648,"12,863","1,632","81,773","6,696","61,455","5,016","30,862","2,712","384,760","33,120","69,286","6,045","130,594","10,692","184,879","16,383"
105937 - DIFFLAM ELDERBERRY M BERRY DROP 8 SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,227","18,144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,448","12,960","11,779","5,184",0,0,0,0,0,0,"12,021","5,184","12,021","5,184",0,0,0,0
105938 - DIFFLAM ELDERBERRY M BERRY DROP18 SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"143,995","33,156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,771","7,776","36,585","8,424",0,0,"73,639","16,956",0,0,"107,515","24,623","28,717","6,479","33,771","7,776","45,028","10,368"
105939 - DIFFLAM MANUKA HONEY DROP 8 SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,227","18,144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,448","12,960","11,779","5,184",0,0,0,0,0,0,"12,021","5,184","12,021","5,184",0,0,0,0
105940 - DIFFLAM MANUKA HONEY DROP 18 SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"140,712","32,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,771","7,776","35,647","8,208",0,0,"71,294","16,416",0,0,"140,297","31,967","72,756","16,415","39,399","9,072","28,142","6,480"
104639 - DIFFLAM 1.5MG CHILDREN SPRAY 30ML TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"556,500","61,764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"286,530","31,801","-3,424",-380,-451,-50,"-2,253",-250,"276,097","30,643","-4,280",-475,"-2,730",-303,"-1,550",-172,0,0
105972 - ISODINE CLEAR GARGLE APPLE 400ML JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,421,410","184,963",0,0,0,0,0,0,0,0,0,0,0,0,"435,477","56,667","218,303","28,407","439,042","57,131",0,0,0,0,"328,588","42,758",0,0,0,0,0,0,0,0
105973 - ISODINE CLEAR GARGLE MINT 400ML JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,528,076","198,843",0,0,0,0,0,0,0,0,0,0,0,0,"436,130","56,752","218,219","28,396","327,558","42,624","219,187","28,522","326,982","42,549",0,0,0,0,0,0,0,0,0,0
105894 - DURO-TUSS AX CHESTY LIQ 120ML MY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,255","19,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103,130","15,840",0,0,"22,125","3,240",0,0,"9,833","1,440",0,0,0,0,"9,833","1,440"
106056 - DEMAZIN FLU EFFERVESCENT TAB 24 SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,824","3,785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,534","3,447","4,290",338,"5,851",606,"2,656",306,"3,195",300,0,0
106060 - FERROUS FORTE SOMAL CAPSULE 30 SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,985","2,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,985","2,370","24,704","2,068","4,362",344,"20,343","1,724",0,0
105935 - BETADINE CLEAR ANTISEP SPRAY 30ML ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,222","29,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,696","7,500","52,526","21,504","91,096","37,181","40,709","16,632","34,659","14,112","15,728","6,437"
105936 - BETADINE CLEAR ANTISEP GEL 10ML ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,138","22,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,543","9,800","25,594","13,120","49,883","25,360","23,323","11,890","19,964","10,130","6,596","3,340"
105842 - ACNE-AID NAT ADULT CLEANSER 100ML TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"123,820","9,528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"123,820","9,528","192,786","14,835","68,615","5,280","108,004","8,311","16,166","1,244"
105843 - ACNE-AID NAT ADULT MOISTURE 50ML TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,664","2,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,664","2,520","100,775","5,816","18,713","1,080","35,486","2,048","46,575","2,688"
105844 - ACNE-AID NAT ADULT SERUM 30ML TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,818","3,120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,818","3,120","63,118","3,238","21,052","1,080","18,674",958,"23,392","1,200"
104768 - ACNE-AID NAT POLLUTION CLSER100ML TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,067","9,624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,067","9,624","170,005","13,082","66,120","5,088","62,664","4,822","41,221","3,172"
